Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,17951.779296875,17731.30078125,17823.0703125,17832.990234375,76270000,17832.990234375
2015-01-05,17821.30078125,17475.9296875,17821.30078125,17501.650390625,116160000,17501.650390625
2015-01-06,17581.05078125,17262.369140625,17504.1796875,17371.640625,101870000,17371.640625
2015-01-07,17597.080078125,17374.779296875,17374.779296875,17584.51953125,91030000,17584.51953125
2015-01-08,17916.0390625,17591.970703125,17591.970703125,17907.869140625,114890000,17907.869140625
2015-01-09,17915.3203125,17686.08984375,17911.01953125,17737.369140625,93390000,17737.369140625
2015-01-12,17793.880859375,17571.580078125,17742.05078125,17640.83984375,92500000,17640.83984375
2015-01-13,17923.009765625,17498.23046875,17645.01953125,17613.6796875,99360000,17613.6796875
2015-01-14,17609.060546875,17264.900390625,17609.060546875,17427.08984375,109180000,17427.08984375
2015-01-15,17517.41015625,17298.0390625,17436.30078125,17320.7109375,94520000,17320.7109375
2015-01-16,17528.369140625,17243.55078125,17320.0,17511.5703125,140480000,17511.5703125
2015-01-20,17588.69921875,17346.73046875,17516.9609375,17515.23046875,119600000,17515.23046875
2015-01-21,17599.580078125,17396.0390625,17509.9609375,17554.279296875,95530000,17554.279296875
2015-01-22,17840.890625,17482.5390625,17557.2890625,17813.98046875,111980000,17813.98046875
2015-01-23,17812.5,17667.529296875,17812.5,17672.599609375,97110000,17672.599609375
2015-01-26,17696.359375,17567.599609375,17668.109375,17678.69921875,87220000,17678.69921875
2015-01-27,17638.529296875,17288.310546875,17638.529296875,17387.2109375,135940000,17387.2109375
2015-01-28,17484.41015625,17189.0,17402.91015625,17191.369140625,115980000,17191.369140625
2015-01-29,17433.130859375,17136.30078125,17195.2890625,17416.849609375,111690000,17416.849609375
2015-01-30,17419.900390625,17156.8203125,17416.849609375,17164.94921875,168560000,17164.94921875
2015-02-02,17367.6796875,17037.759765625,17169.990234375,17361.0390625,108090000,17361.0390625
2015-02-03,17670.759765625,17369.970703125,17369.970703125,17666.400390625,112860000,17666.400390625
2015-02-04,17782.220703125,17603.2109375,17664.990234375,17673.01953125,102560000,17673.01953125
2015-02-05,17889.580078125,17677.259765625,17677.259765625,17884.880859375,79890000,17884.880859375
2015-02-06,17951.08984375,17764.400390625,17881.5390625,17824.2890625,93610000,17824.2890625
2015-02-09,17821.490234375,17685.3203125,17821.490234375,17729.2109375,81590000,17729.2109375
2015-02-10,17890.33984375,17729.240234375,17736.150390625,17868.759765625,89930000,17868.759765625
2015-02-11,17897.2109375,17759.650390625,17867.859375,17862.140625,89890000,17862.140625
2015-02-12,17975.650390625,17862.140625,17862.140625,17972.380859375,117160000,17972.380859375
2015-02-13,18037.41015625,17961.759765625,17968.650390625,18019.349609375,85230000,18019.349609375
2015-02-17,18052.009765625,17951.41015625,18019.80078125,18047.580078125,98760000,18047.580078125
2015-02-18,18048.69921875,17982.19921875,18045.720703125,18029.849609375,75090000,18029.849609375
2015-02-19,18028.669921875,17924.599609375,18028.669921875,17985.76953125,79130000,17985.76953125
2015-02-20,18144.2890625,17878.369140625,17985.76953125,18140.439453125,111390000,18140.439453125
