Date,High,Low,Open,Close,Volume,Adj Close
2017-08-31,19687.990234375,19583.109375,19591.3203125,19646.240234375,97900000.0,19646.240234375
2017-09-01,19735.9609375,19620.0703125,19733.5703125,19691.470703125,79400000.0,19691.470703125
2017-09-04,19628.400390625,19479.400390625,19615.9609375,19508.25,71700000.0,19508.25
2017-09-05,19542.779296875,19354.58984375,19533.380859375,19385.810546875,77600000.0,19385.810546875
2017-09-06,19371.380859375,19254.669921875,19286.060546875,19357.970703125,88500000.0,19357.970703125
2017-09-07,19482.720703125,19365.75,19433.439453125,19396.51953125,81900000.0,19396.51953125
2017-09-08,19357.490234375,19239.51953125,19297.9609375,19274.8203125,106600000.0,19274.8203125
2017-09-11,19567.029296875,19437.140625,19441.390625,19545.76953125,78700000.0,19545.76953125
2017-09-12,19792.060546875,19718.80078125,19736.140625,19776.619140625,89900000.0,19776.619140625
2017-09-13,19888.83984375,19845.01953125,19873.689453125,19865.8203125,84500000.0,19865.8203125
2017-09-14,19918.390625,19793.849609375,19860.369140625,19807.439453125,93700000.0,19807.439453125
2017-09-15,19933.400390625,19787.650390625,19793.80078125,19909.5,111900000.0,19909.5
2017-09-19,20320.779296875,20122.0,20128.1796875,20299.380859375,120900000.0,20299.380859375
2017-09-20,20339.369140625,20272.8203125,20301.330078125,20310.4609375,100400000.0,20310.4609375
2017-09-21,20481.26953125,20332.689453125,20456.5,20347.48046875,115900000.0,20347.48046875
2017-09-22,20417.0703125,20249.240234375,20413.609375,20296.44921875,95400000.0,20296.44921875
2017-09-25,20454.2890625,20367.029296875,20439.4296875,20397.580078125,82800000.0,20397.580078125
2017-09-26,20385.5,20303.98046875,20349.259765625,20330.189453125,95000000.0,20330.189453125
2017-09-27,20278.08984375,20213.66015625,20269.8203125,20267.05078125,63600000.0,20267.05078125
2017-09-28,20399.869140625,20299.6796875,20398.630859375,20363.109375,84000000.0,20363.109375
2017-09-29,20370.330078125,20285.060546875,20315.33984375,20356.279296875,85100000.0,20356.279296875
2017-10-02,20411.330078125,20363.279296875,20400.509765625,20400.779296875,67600000.0,20400.779296875
2017-10-03,20628.380859375,20438.169921875,20475.25,20614.0703125,72800000.0,20614.0703125
2017-10-04,20689.080078125,20592.1796875,20660.810546875,20626.66015625,73500000.0,20626.66015625
2017-10-05,20667.470703125,20602.259765625,20650.7109375,20628.560546875,57300000.0,20628.560546875
2017-10-06,20721.150390625,20659.150390625,20716.849609375,20690.7109375,75900000.0,20690.7109375
2017-10-10,20823.66015625,20663.080078125,20680.5390625,20823.509765625,78300000.0,20823.509765625
2017-10-11,20898.41015625,20788.119140625,20803.7109375,20881.26953125,80200000.0,20881.26953125
2017-10-12,20994.400390625,20917.0390625,20958.1796875,20954.720703125,80400000.0,20954.720703125
2017-10-13,21211.2890625,20933.0,20959.66015625,21155.1796875,110500000.0,21155.1796875
2017-10-16,21347.0703125,21187.9296875,21221.26953125,21255.560546875,102300000.0,21255.560546875
2017-10-17,21393.9609375,21230.669921875,21352.169921875,21336.119140625,92400000.0,21336.119140625
2017-10-18,21402.759765625,21317.669921875,21374.66015625,21363.05078125,72700000.0,21363.05078125
2017-10-19,21503.849609375,21381.51953125,21450.0390625,21448.51953125,84600000.0,21448.51953125
2017-10-20,21489.259765625,21363.099609375,21390.94921875,21457.640625,85700000.0,21457.640625
2017-10-23,21723.599609375,21614.509765625,21709.30078125,21696.650390625,87400000.0,21696.650390625
2017-10-24,21805.169921875,21646.51953125,21670.0,21805.169921875,88200000.0,21805.169921875
2017-10-25,21921.359375,21648.349609375,21900.130859375,21707.619140625,122000000.0,21707.619140625
2017-10-26,21793.619140625,21688.560546875,21698.94921875,21739.779296875,82600000.0,21739.779296875
2017-10-27,22016.5,21815.720703125,21903.26953125,22008.44921875,120400000.0,22008.44921875
2017-10-30,22086.880859375,21921.240234375,22047.94921875,22011.669921875,135600000.0,22011.669921875
2017-10-31,22020.380859375,21840.0703125,21897.2890625,22011.609375,102400000.0,22011.609375
2017-11-01,22455.919921875,22130.029296875,22144.919921875,22420.080078125,112600000.0,22420.080078125
2017-11-02,22540.25,22400.009765625,22512.1796875,22539.119140625,105700000.0,22539.119140625
2017-11-03,22540.25,22400.009765625,22512.1796875,22539.119140625,0.0,22539.119140625
2017-11-06,22644.6796875,22435.33984375,22612.9609375,22548.349609375,111900000.0,22548.349609375
2017-11-07,22953.1796875,22512.91015625,22518.75,22937.599609375,107800000.0,22937.599609375
2017-11-08,22922.80078125,22759.0703125,22849.91015625,22913.8203125,100200000.0,22913.8203125
2017-11-09,23382.150390625,22522.830078125,22989.439453125,22868.7109375,160400000.0,22868.7109375
2017-11-10,22724.390625,22511.9296875,22580.69921875,22681.419921875,106600000.0,22681.419921875
2017-11-13,22607.919921875,22380.990234375,22607.560546875,22380.990234375,80700000.0,22380.990234375
2017-11-14,22532.30078125,22323.240234375,22342.9296875,22380.009765625,95900000.0,22380.009765625
2017-11-15,22305.240234375,22004.7890625,22250.98046875,22028.3203125,120600000.0,22028.3203125
2017-11-16,22392.130859375,21972.33984375,21975.23046875,22351.119140625,96600000.0,22351.119140625
2017-11-17,22757.400390625,22319.119140625,22603.30078125,22396.80078125,113700000.0,22396.80078125
2017-11-20,22410.240234375,22215.0703125,22279.98046875,22261.759765625,71700000.0,22261.759765625
2017-11-21,22563.25,22416.48046875,22456.7890625,22416.48046875,76100000.0,22416.48046875
2017-11-22,22677.33984375,22513.439453125,22601.55078125,22523.150390625,81100000.0,22523.150390625
2017-11-24,22567.19921875,22381.009765625,22390.140625,22550.849609375,64800000.0,22550.849609375
2017-11-27,22659.330078125,22423.400390625,22657.080078125,22495.990234375,66600000.0,22495.990234375
2017-11-28,22580.990234375,22363.939453125,22474.740234375,22486.240234375,76800000.0,22486.240234375
2017-11-29,22643.9296875,22537.119140625,22613.9609375,22597.19921875,90700000.0,22597.19921875
2017-11-30,22748.3203125,22502.6796875,22601.830078125,22724.9609375,140700000.0,22724.9609375
2017-12-01,22994.310546875,22675.0703125,22916.9296875,22819.029296875,89700000.0,22819.029296875
2017-12-04,22864.330078125,22693.990234375,22843.529296875,22707.16015625,68900000.0,22707.16015625
2017-12-05,22682.7109375,22522.279296875,22595.330078125,22622.380859375,75900000.0,22622.380859375
2017-12-06,22528.2109375,22119.2109375,22525.380859375,22177.0390625,97300000.0,22177.0390625
2017-12-07,22515.240234375,22317.150390625,22317.150390625,22498.029296875,79500000.0,22498.029296875
2017-12-08,22819.7109375,22625.41015625,22627.94921875,22811.080078125,106900000.0,22811.080078125
2017-12-11,22938.73046875,22787.400390625,22894.30078125,22938.73046875,69500000.0,22938.73046875
2017-12-12,22994.330078125,22834.890625,22936.41015625,22866.169921875,86100000.0,22866.169921875
2017-12-13,22879.369140625,22697.3203125,22879.26953125,22758.0703125,91400000.0,22758.0703125
2017-12-14,22786.609375,22638.759765625,22699.30078125,22694.44921875,85100000.0,22694.44921875
2017-12-15,22745.08984375,22478.3203125,22621.359375,22553.220703125,99400000.0,22553.220703125
2017-12-18,22927.5,22735.19921875,22770.439453125,22901.76953125,85200000.0,22901.76953125
2017-12-19,22990.419921875,22862.8203125,22961.470703125,22868.0,70500000.0,22868.0
2017-12-20,22923.5,22806.73046875,22834.9296875,22891.720703125,92400000.0,22891.720703125
2017-12-21,22894.94921875,22728.060546875,22852.009765625,22866.099609375,73000000.0,22866.099609375
2017-12-22,22908.83984375,22801.16015625,22850.73046875,22902.759765625,77800000.0,22902.759765625
2017-12-25,22948.830078125,22870.189453125,22909.41015625,22939.1796875,0.0,22939.1796875
2017-12-26,22950.150390625,22877.630859375,22922.94921875,22892.689453125,46400000.0,22892.689453125
2017-12-27,22936.16015625,22854.390625,22854.390625,22911.2109375,47200000.0,22911.2109375
2017-12-28,22954.44921875,22736.4296875,22912.05078125,22783.98046875,50300000.0,22783.98046875
2017-12-29,22881.2109375,22753.19921875,22831.490234375,22764.939453125,46500000.0,22764.939453125
