Date,High,Low,Open,Close,Volume,Adj Close
2019-02-15,21051.509765625,20853.330078125,21051.509765625,20900.630859375,65600000.0,20900.630859375
2019-02-18,21306.359375,21189.970703125,21217.3203125,21281.849609375,61800000.0,21281.849609375
2019-02-19,21344.169921875,21217.16015625,21256.580078125,21302.650390625,53600000.0,21302.650390625
2019-02-20,21494.849609375,21315.390625,21346.0390625,21431.490234375,59700000.0,21431.490234375
2019-02-21,21553.349609375,21318.740234375,21422.310546875,21464.23046875,68400000.0,21464.23046875
2019-02-22,21451.23046875,21348.669921875,21376.359375,21425.509765625,52400000.0,21425.509765625
2019-02-25,21590.029296875,21505.0703125,21567.66015625,21528.23046875,51800000.0,21528.23046875
2019-02-26,21610.880859375,21405.83984375,21556.01953125,21449.390625,56400000.0,21449.390625
2019-02-27,21578.810546875,21492.650390625,21504.609375,21556.509765625,67700000.0,21556.509765625
2019-02-28,21536.55078125,21364.08984375,21536.55078125,21385.16015625,71500000.0,21385.16015625
2019-03-01,21641.580078125,21490.01953125,21490.01953125,21602.689453125,62600000.0,21602.689453125
2019-03-04,21860.390625,21740.919921875,21812.810546875,21822.0390625,59100000.0,21822.0390625
2019-03-05,21798.380859375,21659.0390625,21712.80078125,21726.279296875,59200000.0,21726.279296875
2019-03-06,21684.599609375,21550.44921875,21659.029296875,21596.810546875,57100000.0,21596.810546875
2019-03-07,21472.16015625,21402.119140625,21456.880859375,21456.009765625,75200000.0,21456.009765625
2019-03-08,21359.3203125,20993.0703125,21339.169921875,21025.560546875,99800000.0,21025.560546875
2019-03-11,21145.939453125,20938.0,21062.75,21125.08984375,55600000.0,21125.08984375
2019-03-12,21568.48046875,21348.810546875,21361.609375,21503.689453125,67800000.0,21503.689453125
2019-03-13,21474.169921875,21198.990234375,21425.76953125,21290.240234375,66200000.0,21290.240234375
2019-03-14,21522.75,21287.01953125,21474.580078125,21287.01953125,64100000.0,21287.01953125
2019-03-15,21521.6796875,21374.849609375,21376.73046875,21450.849609375,83200000.0,21450.849609375
2019-03-18,21612.669921875,21500.3203125,21576.359375,21584.5,55200000.0,21584.5
2019-03-19,21585.55078125,21425.7890625,21558.4296875,21566.849609375,59900000.0,21566.849609375
2019-03-20,21614.169921875,21499.16015625,21548.650390625,21608.919921875,65300000.0,21608.919921875
2019-03-22,21713.259765625,21542.029296875,21713.259765625,21627.33984375,78900000.0,21627.33984375
2019-03-25,21275.4296875,20911.5703125,21267.41015625,20977.109375,77700000.0,20977.109375
2019-03-26,21460.990234375,21174.33984375,21174.33984375,21428.390625,101300000.0,21428.390625
2019-03-27,21388.58984375,21242.51953125,21353.609375,21378.73046875,76000000.0,21378.73046875
2019-03-28,21191.3203125,20974.189453125,21191.3203125,21033.759765625,71100000.0,21033.759765625
2019-03-29,21267.25,21149.419921875,21228.509765625,21205.810546875,61600000.0,21205.810546875
2019-04-01,21682.939453125,21471.119140625,21500.890625,21509.029296875,77400000.0,21509.029296875
2019-04-02,21744.640625,21490.560546875,21744.640625,21505.310546875,71000000.0,21505.310546875
2019-04-03,21722.720703125,21489.94921875,21563.640625,21713.2109375,68500000.0,21713.2109375
2019-04-04,21787.599609375,21662.900390625,21724.689453125,21724.94921875,57900000.0,21724.94921875
2019-04-05,21839.1796875,21731.33984375,21743.140625,21807.5,58500000.0,21807.5
2019-04-08,21900.55078125,21740.529296875,21900.55078125,21761.650390625,54600000.0,21761.650390625
2019-04-09,21811.880859375,21698.419921875,21750.2890625,21802.58984375,54300000.0,21802.58984375
2019-04-10,21687.5703125,21571.669921875,21579.6796875,21687.5703125,58700000.0,21687.5703125
2019-04-11,21721.419921875,21627.869140625,21662.650390625,21711.380859375,61200000.0,21711.380859375
2019-04-12,21878.779296875,21698.7109375,21782.349609375,21870.560546875,61600000.0,21870.560546875
2019-04-15,22211.029296875,22102.9296875,22122.970703125,22169.109375,66100000.0,22169.109375
2019-04-16,22261.330078125,22095.3203125,22108.150390625,22221.66015625,57300000.0,22221.66015625
2019-04-17,22345.189453125,22185.869140625,22236.41015625,22277.970703125,75400000.0,22277.970703125
2019-04-18,22305.630859375,22058.390625,22274.130859375,22090.119140625,67300000.0,22090.119140625
2019-04-19,22250.369140625,22162.23046875,22238.0703125,22200.560546875,0.0,22200.560546875
2019-04-22,22280.189453125,22099.380859375,22188.619140625,22217.900390625,42900000.0,22217.900390625
2019-04-23,22268.369140625,22119.939453125,22241.740234375,22259.740234375,52000000.0,22259.740234375
2019-04-24,22362.919921875,22125.48046875,22356.830078125,22200.0,67900000.0,22200.0
2019-04-25,22334.689453125,22155.23046875,22183.3203125,22307.580078125,63300000.0,22307.580078125
2019-04-26,22270.2890625,22073.099609375,22167.48046875,22258.73046875,71900000.0,22258.73046875
2019-05-07,22190.490234375,21875.109375,22184.400390625,21923.720703125,90700000.0,21923.720703125
2019-05-08,21639.119140625,21514.849609375,21628.0390625,21602.58984375,85700000.0,21602.58984375
2019-05-09,21559.759765625,21315.0703125,21492.91015625,21402.130859375,96900000.0,21402.130859375
2019-05-10,21584.08984375,21175.330078125,21431.810546875,21344.919921875,98500000.0,21344.919921875
2019-05-13,21277.66015625,21127.9296875,21180.740234375,21191.279296875,74500000.0,21191.279296875
2019-05-14,21077.48046875,20751.44921875,20870.76953125,21067.23046875,90200000.0,21067.23046875
2019-05-15,21191.529296875,20968.080078125,21112.849609375,21188.560546875,84100000.0,21188.560546875
2019-05-16,21153.19921875,20951.669921875,21153.19921875,21062.98046875,82500000.0,21062.98046875
2019-05-17,21398.849609375,21199.98046875,21246.859375,21250.08984375,75800000.0,21250.08984375
2019-05-20,21430.060546875,21282.650390625,21305.970703125,21301.73046875,65100000.0,21301.73046875
2019-05-21,21318.80078125,21160.4296875,21211.259765625,21272.44921875,70100000.0,21272.44921875
2019-05-22,21404.5390625,21266.98046875,21373.51953125,21283.369140625,64500000.0,21283.369140625
2019-05-23,21209.560546875,21072.720703125,21180.240234375,21151.140625,63900000.0,21151.140625
2019-05-24,21117.220703125,20922.0,20980.7890625,21117.220703125,67700000.0,21117.220703125
2019-05-27,21232.380859375,21113.759765625,21148.4609375,21182.580078125,41600000.0,21182.580078125
2019-05-28,21297.69921875,21177.26953125,21187.169921875,21260.140625,98500000.0,21260.140625
2019-05-29,21071.73046875,20884.609375,21055.419921875,21003.369140625,70000000.0,21003.369140625
2019-05-30,20942.529296875,20809.2890625,20881.5,20942.529296875,58700000.0,20942.529296875
2019-05-31,20823.099609375,20581.580078125,20785.2109375,20601.189453125,79100000.0,20601.189453125
2019-06-03,20438.029296875,20305.740234375,20327.869140625,20410.880859375,67400000.0,20410.880859375
2019-06-04,20464.5703125,20289.640625,20435.859375,20408.5390625,69200000.0,20408.5390625
2019-06-05,20800.640625,20646.150390625,20667.890625,20776.099609375,72300000.0,20776.099609375
2019-06-06,20842.279296875,20745.83984375,20745.83984375,20774.0390625,59600000.0,20774.0390625
2019-06-07,20907.76953125,20816.580078125,20859.779296875,20884.7109375,50700000.0,20884.7109375
2019-06-10,21166.119140625,21077.94921875,21095.400390625,21134.419921875,58200000.0,21134.419921875
2019-06-11,21227.1796875,21066.619140625,21099.5390625,21204.279296875,52100000.0,21204.279296875
2019-06-12,21259.69921875,21118.75,21130.390625,21129.720703125,56500000.0,21129.720703125
2019-06-13,21111.23046875,20932.130859375,21040.91015625,21032.0,65700000.0,21032.0
2019-06-14,21119.73046875,20971.1796875,21049.41015625,21116.890625,60400000.0,21116.890625
2019-06-17,21185.25,21044.619140625,21094.9609375,21124.0,49100000.0,21124.0
2019-06-18,21153.650390625,20924.189453125,21111.76953125,20972.7109375,54600000.0,20972.7109375
2019-06-19,21358.720703125,21213.4296875,21223.169921875,21333.869140625,64100000.0,21333.869140625
2019-06-20,21491.390625,21377.26953125,21417.740234375,21462.859375,55700000.0,21462.859375
2019-06-21,21497.8203125,21221.69921875,21487.669921875,21258.640625,89000000.0,21258.640625
2019-06-24,21317.859375,21185.669921875,21223.560546875,21285.990234375,43200000.0,21285.990234375
2019-06-25,21313.76953125,21114.470703125,21238.0703125,21193.810546875,53900000.0,21193.810546875
2019-06-26,21129.640625,21035.83984375,21067.6796875,21086.58984375,50300000.0,21086.58984375
2019-06-27,21338.169921875,21123.970703125,21156.880859375,21338.169921875,61300000.0,21338.169921875
2019-06-28,21324.9296875,21199.849609375,21282.220703125,21275.919921875,62100000.0,21275.919921875
2019-07-01,21758.33984375,21559.169921875,21566.26953125,21729.970703125,66900000.0,21729.970703125
2019-07-02,21784.220703125,21697.310546875,21699.4296875,21754.26953125,54700000.0,21754.26953125
2019-07-03,21708.720703125,21566.650390625,21684.0703125,21638.16015625,55000000.0,21638.16015625
2019-07-04,21755.630859375,21672.5,21740.9296875,21702.44921875,37800000.0,21702.44921875
2019-07-05,21746.380859375,21647.73046875,21703.609375,21746.380859375,44800000.0,21746.380859375
2019-07-08,21672.650390625,21499.5703125,21665.7890625,21534.349609375,51900000.0,21534.349609375
2019-07-09,21687.2890625,21508.220703125,21598.150390625,21565.150390625,53900000.0,21565.150390625
2019-07-10,21601.859375,21488.220703125,21499.4609375,21533.48046875,58900000.0,21533.48046875
2019-07-11,21649.9296875,21532.5703125,21547.189453125,21643.529296875,49600000.0,21643.529296875
2019-07-12,21720.140625,21589.830078125,21720.140625,21685.900390625,45400000.0,21685.900390625
2019-07-16,21655.51953125,21514.890625,21644.380859375,21535.25,49800000.0,21535.25
2019-07-17,21488.26953125,21380.55078125,21474.630859375,21469.1796875,53300000.0,21469.1796875
2019-07-18,21347.83984375,20993.439453125,21336.80078125,21046.240234375,70200000.0,21046.240234375
2019-07-19,21474.30078125,21121.900390625,21146.5,21466.990234375,57900000.0,21466.990234375
2019-07-22,21445.029296875,21317.849609375,21394.75,21416.7890625,46900000.0,21416.7890625
2019-07-23,21686.529296875,21411.9296875,21425.439453125,21620.880859375,48100000.0,21620.880859375
2019-07-24,21744.880859375,21677.7109375,21726.98046875,21709.5703125,51100000.0,21709.5703125
2019-07-25,21823.0703125,21715.689453125,21715.94921875,21756.55078125,46900000.0,21756.55078125
2019-07-26,21709.740234375,21590.66015625,21700.19921875,21658.150390625,47600000.0,21658.150390625
2019-07-29,21652.94921875,21518.69921875,21627.55078125,21616.80078125,47000000.0,21616.80078125
2019-07-30,21792.98046875,21665.859375,21681.8203125,21709.310546875,54500000.0,21709.310546875
2019-07-31,21589.109375,21476.0703125,21526.380859375,21521.529296875,76500000.0,21521.529296875
2019-08-01,21556.689453125,21288.900390625,21361.580078125,21540.990234375,75700000.0,21540.990234375
2019-08-02,21211.060546875,20960.08984375,21211.060546875,21087.16015625,91500000.0,21087.16015625
2019-08-05,20941.830078125,20514.189453125,20909.98046875,20720.2890625,85800000.0,20720.2890625
2019-08-06,20607.830078125,20110.759765625,20325.51953125,20585.310546875,89700000.0,20585.310546875
2019-08-07,20570.189453125,20406.51953125,20548.0703125,20516.560546875,73600000.0,20516.560546875
2019-08-08,20682.240234375,20462.98046875,20529.2890625,20593.349609375,64800000.0,20593.349609375
2019-08-09,20782.060546875,20676.919921875,20758.150390625,20684.8203125,63700000.0,20684.8203125
2019-08-13,20503.380859375,20369.26953125,20432.6796875,20455.439453125,72900000.0,20455.439453125
2019-08-14,20697.419921875,20581.169921875,20669.990234375,20655.130859375,60900000.0,20655.130859375
2019-08-15,20419.880859375,20184.849609375,20324.25,20405.650390625,68200000.0,20405.650390625
2019-08-16,20465.7109375,20300.349609375,20323.970703125,20418.810546875,58400000.0,20418.810546875
2019-08-19,20633.900390625,20502.66015625,20590.470703125,20563.16015625,50600000.0,20563.16015625
2019-08-20,20684.060546875,20582.009765625,20605.349609375,20677.220703125,50100000.0,20677.220703125
2019-08-21,20626.05078125,20482.619140625,20489.970703125,20618.5703125,53000000.0,20618.5703125
2019-08-22,20731.189453125,20584.2890625,20706.0703125,20628.009765625,54600000.0,20628.009765625
2019-08-23,20719.310546875,20579.98046875,20579.98046875,20710.91015625,50700000.0,20710.91015625
2019-08-26,20329.009765625,20173.759765625,20325.439453125,20261.0390625,69900000.0,20261.0390625
2019-08-27,20529.939453125,20439.919921875,20467.220703125,20456.080078125,60800000.0,20456.080078125
2019-08-28,20511.2109375,20433.310546875,20474.310546875,20479.419921875,51500000.0,20479.419921875
2019-08-29,20520.6796875,20361.119140625,20500.5,20460.9296875,55100000.0,20460.9296875
2019-08-30,20748.349609375,20633.30078125,20641.490234375,20704.369140625,72000000.0,20704.369140625
2019-09-02,20667.560546875,20614.2890625,20625.75,20620.189453125,42400000.0,20620.189453125
2019-09-03,20662.23046875,20578.01953125,20581.580078125,20625.16015625,0.0,20625.16015625
2019-09-04,20694.349609375,20554.16015625,20578.669921875,20649.140625,51500000.0,20649.140625
2019-09-05,21164.609375,20787.9296875,20800.2890625,21085.939453125,83000000.0,21085.939453125
2019-09-06,21241.2890625,21145.810546875,21201.830078125,21199.5703125,71100000.0,21199.5703125
2019-09-09,21333.509765625,21182.259765625,21214.560546875,21318.419921875,57800000.0,21318.419921875
2019-09-10,21438.349609375,21350.349609375,21363.5703125,21392.099609375,92400000.0,21392.099609375
2019-09-11,21619.2109375,21437.8203125,21466.66015625,21597.759765625,110100000.0,21597.759765625
2019-09-12,21825.919921875,21743.9609375,21761.08984375,21759.609375,96000000.0,21759.609375
2019-09-13,22019.66015625,21820.939453125,21907.830078125,21988.2890625,116300000.0,21988.2890625
2019-09-17,22041.080078125,21878.630859375,21947.58984375,22001.3203125,81500000.0,22001.3203125
2019-09-18,22027.859375,21942.029296875,22014.650390625,21960.7109375,69400000.0,21960.7109375
2019-09-19,22255.560546875,22003.30078125,22064.4609375,22044.44921875,78200000.0,22044.44921875
2019-09-20,22204.75,22047.900390625,22130.740234375,22079.08984375,85000000.0,22079.08984375
2019-09-24,22168.740234375,22077.939453125,22095.349609375,22098.83984375,68400000.0,22098.83984375
2019-09-25,22036.48046875,21906.0,21961.8203125,22020.150390625,61600000.0,22020.150390625
2019-09-26,22184.91015625,21986.240234375,22160.51953125,22048.240234375,81600000.0,22048.240234375
2019-09-27,21955.7890625,21733.689453125,21934.9296875,21878.900390625,76400000.0,21878.900390625
2019-09-30,21811.98046875,21666.599609375,21793.830078125,21755.83984375,69900000.0,21755.83984375
2019-10-01,21938.76953125,21811.98046875,21831.439453125,21885.240234375,62300000.0,21885.240234375
2019-10-02,21795.009765625,21725.23046875,21744.619140625,21778.609375,63300000.0,21778.609375
2019-10-03,21437.740234375,21277.359375,21422.220703125,21341.740234375,67700000.0,21341.740234375
2019-10-04,21410.19921875,21276.009765625,21316.1796875,21410.19921875,57700000.0,21410.19921875
2019-10-07,21475.279296875,21328.259765625,21445.73046875,21375.25,47400000.0,21375.25
2019-10-08,21629.240234375,21483.1796875,21494.48046875,21587.779296875,60800000.0,21587.779296875
2019-10-09,21467.76953125,21359.83984375,21359.83984375,21456.380859375,55400000.0,21456.380859375
2019-10-10,21601.4609375,21308.880859375,21456.26953125,21551.98046875,59900000.0,21551.98046875
2019-10-11,21820.76953125,21658.26953125,21749.9296875,21798.869140625,67400000.0,21798.869140625
2019-10-15,22219.630859375,22049.7109375,22063.7109375,22207.2109375,74500000.0,22207.2109375
2019-10-16,22615.470703125,22434.349609375,22479.5703125,22472.919921875,78700000.0,22472.919921875
2019-10-17,22522.390625,22424.919921875,22451.150390625,22451.859375,57800000.0,22451.859375
2019-10-18,22649.849609375,22466.259765625,22528.560546875,22492.6796875,59200000.0,22492.6796875
2019-10-21,22581.279296875,22515.73046875,22541.220703125,22548.900390625,48400000.0,22548.900390625
2019-10-23,22648.810546875,22457.890625,22619.76953125,22625.380859375,68000000.0,22625.380859375
2019-10-24,22780.990234375,22704.330078125,22725.439453125,22750.599609375,61300000.0,22750.599609375
2019-10-25,22819.919921875,22715.130859375,22753.240234375,22799.810546875,57200000.0,22799.810546875
2019-10-28,22896.220703125,22830.5703125,22854.439453125,22867.26953125,48100000.0,22867.26953125
2019-10-29,23008.4296875,22935.349609375,22950.7890625,22974.130859375,72900000.0,22974.130859375
2019-10-30,22961.23046875,22827.9296875,22953.169921875,22843.119140625,101600000.0,22843.119140625
2019-10-31,22988.80078125,22875.5,22910.099609375,22927.0390625,78300000.0,22927.0390625
2019-11-01,22852.720703125,22705.599609375,22730.490234375,22850.76953125,65400000.0,22850.76953125
2019-11-05,23328.51953125,23090.939453125,23118.7890625,23251.990234375,102100000.0,23251.990234375
2019-11-06,23352.560546875,23246.5703125,23343.509765625,23303.8203125,77400000.0,23303.8203125
2019-11-07,23336.0,23253.3203125,23283.140625,23330.3203125,70900000.0,23330.3203125
2019-11-08,23591.08984375,23313.41015625,23550.0390625,23391.869140625,94600000.0,23391.869140625
2019-11-11,23471.8203125,23323.01953125,23422.130859375,23331.83984375,61500000.0,23331.83984375
2019-11-12,23545.69921875,23312.25,23336.369140625,23520.009765625,63000000.0,23520.009765625
2019-11-13,23452.630859375,23270.9296875,23439.25,23319.869140625,63400000.0,23319.869140625
2019-11-14,23360.060546875,23062.16015625,23325.5,23141.55078125,79900000.0,23141.55078125
2019-11-15,23340.76953125,23121.58984375,23160.529296875,23303.3203125,72200000.0,23303.3203125
2019-11-18,23420.619140625,23271.2890625,23304.25,23416.759765625,57300000.0,23416.759765625
2019-11-19,23389.529296875,23244.9296875,23366.359375,23292.650390625,64200000.0,23292.650390625
2019-11-20,23303.169921875,23086.119140625,23176.490234375,23148.5703125,65700000.0,23148.5703125
2019-11-21,23108.080078125,22726.7109375,23071.490234375,23038.580078125,69800000.0,23038.580078125
2019-11-22,23219.509765625,23030.330078125,23030.330078125,23112.880859375,55600000.0,23112.880859375
2019-11-25,23347.1796875,23255.390625,23292.849609375,23292.810546875,50300000.0,23292.810546875
2019-11-26,23608.060546875,23350.099609375,23451.400390625,23373.3203125,94300000.0,23373.3203125
2019-11-27,23507.8203125,23418.23046875,23452.849609375,23437.76953125,52200000.0,23437.76953125
2019-11-28,23482.3203125,23367.330078125,23458.880859375,23409.140625,44800000.0,23409.140625
2019-11-29,23498.76953125,23273.369140625,23497.439453125,23293.91015625,52100000.0,23293.91015625
2019-12-02,23562.05078125,23378.400390625,23388.630859375,23529.5,47700000.0,23529.5
2019-12-03,23388.1796875,23186.83984375,23231.140625,23379.810546875,58800000.0,23379.810546875
2019-12-04,23203.76953125,23044.779296875,23186.740234375,23135.23046875,58100000.0,23135.23046875
2019-12-05,23363.439453125,23259.8203125,23292.69921875,23300.08984375,61400000.0,23300.08984375
2019-12-06,23412.48046875,23338.400390625,23347.669921875,23354.400390625,54400000.0,23354.400390625
2019-12-09,23544.310546875,23360.009765625,23544.310546875,23430.69921875,55800000.0,23430.69921875
2019-12-10,23449.470703125,23336.9296875,23372.390625,23410.189453125,52800000.0,23410.189453125
2019-12-11,23438.4296875,23333.630859375,23421.140625,23391.859375,61300000.0,23391.859375
2019-12-12,23468.150390625,23360.4296875,23449.279296875,23424.810546875,56300000.0,23424.810546875
2019-12-13,24050.0390625,23775.73046875,23810.560546875,24023.099609375,115500000.0,24023.099609375
2019-12-16,24036.30078125,23950.05078125,23955.19921875,23952.349609375,53300000.0,23952.349609375
2019-12-17,24091.119140625,23996.509765625,24091.119140625,24066.119140625,64000000.0,24066.119140625
2019-12-18,24046.08984375,23919.359375,24023.26953125,23934.4296875,66300000.0,23934.4296875
2019-12-19,23945.529296875,23835.2890625,23911.4609375,23864.849609375,55600000.0,23864.849609375
2019-12-20,23908.76953125,23746.630859375,23893.44921875,23816.630859375,70300000.0,23816.630859375
2019-12-23,23923.08984375,23810.8203125,23921.2890625,23821.109375,45200000.0,23821.109375
2019-12-24,23853.560546875,23796.349609375,23839.1796875,23830.580078125,37900000.0,23830.580078125
2019-12-25,23824.849609375,23782.869140625,23813.58984375,23782.869140625,31600000.0,23782.869140625
2019-12-26,23931.509765625,23775.400390625,23787.69921875,23924.919921875,40300000.0,23924.919921875
2019-12-27,23967.1796875,23837.720703125,23953.75,23837.720703125,44800000.0,23837.720703125
2019-12-30,23782.490234375,23656.619140625,23770.9296875,23656.619140625,41600000.0,23656.619140625
