Thevillagesandtownsurbandistrict,shiftinglevel,totalfloornumber,buildingstate,houseage,buildingshiftingtotalarea,room,hall,bathroom,compartmented,managestheorganization,park,bus  stop,school,Clustering,theunitpriceNTDsquaremeter
North,3,15,5,13,149.65,3,2,2,1,1,1,1,1,1,55463
North,5,7,4,11,165.85,4,1,3,1,1,0,1,1,1,51854
North,7,7,4,29,156.76,3,1,2,1,1,1,1,0,1,38275
North,0,3,3,42,149.26,5,2,3,1,0,1,1,0,1,53598
North,3,5,2,37,107.04,5,1,5,1,0,1,1,1,1,62407
North,2,7,4,27,186.46,3,2,2,1,1,1,1,1,1,21452
North,7,7,4,27,116.96,3,2,2,1,0,0,1,0,1,52578
North,3,6,4,29,119.36,3,2,1,1,1,1,1,0,1,46079
North,3,5,4,23,141.69,2,2,2,1,1,1,1,0,1,63519
North,8,9,4,22,155.06,3,2,2,1,1,0,1,0,1,50303
North,5,5,2,31,121.56,3,2,1,1,1,0,1,0,1,34551
North,4,9,4,25,136.03,3,2,2,1,1,1,1,1,1,38006
North,5,5,4,29,187.05,3,2,2,1,1,0,1,0,1,40096
North,0,2,3,49,118.36,4,3,3,1,0,1,1,0,1,92937
North,2,14,5,21,103.07,3,2,2,1,1,0,1,0,1,48511
North,4,9,4,27,142.26,3,2,2,1,1,0,1,1,1,49206
North,7,7,4,24,107.15,4,4,4,1,1,0,1,0,1,44050
North,0,2,3,44,125.3,3,2,2,1,0,0,1,0,1,110774
North,2,7,4,37,123.3,3,2,2,1,1,1,1,0,1,34874
North,1,5,2,38,134.77,3,2,2,1,0,0,1,0,1,56392
North,3,5,2,37,108.18,7,0,7,1,0,0,1,1,1,64707
North,6,14,5,24,139.66,3,2,2,1,1,0,1,1,1,44966
North,7,11,5,25,145.79,2,2,1,1,1,0,1,1,1,45271
North,2,7,4,28,106.29,2,2,1,1,1,1,1,0,1,52404
North,7,15,5,29,113.87,2,2,2,1,1,0,1,0,1,45666
North,2,8,4,24,137.61,4,2,2,1,1,0,1,1,1,36335
North,17,21,5,23,105.83,2,2,2,1,1,0,1,1,1,51498
North,4,5,2,38,109.23,5,0,5,1,0,1,1,1,1,39824
North,3,5,2,38,100.42,3,2,2,1,0,1,1,1,1,35451
North,0,2,3,46,103.21,4,2,2,1,0,1,1,0,1,90108
North,12,12,5,26,171.38,4,2,2,1,1,0,1,1,1,52515
North,4,5,2,35,105.47,3,2,2,1,0,0,0,0,1,35081
North,4,15,5,25,134.46,3,2,2,1,1,1,0,0,1,47226
North,4,5,2,31,104.48,2,2,1,1,0,1,1,0,1,47665
North,2,14,5,18,166.05,3,2,2,1,1,1,0,0,1,48178
North,1,8,4,25,107.11,3,2,2,1,1,1,1,0,1,62179
North,2,7,4,36,148.53,3,2,2,1,1,1,1,0,1,33663
North,0,2,3,48,161.03,3,2,2,1,0,1,1,0,1,147799
North,2,7,4,25,101.46,4,2,3,1,1,1,1,1,1,35975
North,5,5,2,31,111.87,2,2,2,1,1,0,0,0,1,44699
North,20,20,5,19,101.64,2,2,1,1,1,1,1,1,1,51456
North,3,7,4,26,159.55,3,2,2,1,1,1,1,1,1,40740
North,4,7,4,37,110.07,4,2,4,1,1,1,1,0,1,53602
North,4,7,4,33,147.1,3,2,2,1,0,1,1,0,1,44188
North,6,12,5,23,152.39,3,2,2,1,1,1,1,0,1,49216
North,10,14,5,24,128.55,3,2,2,1,1,1,1,1,1,56403
North,8,12,5,21,120.33,3,2,2,1,1,1,1,1,1,55514
North,7,7,4,25,131.71,2,2,1,1,1,1,1,1,1,51629
North,6,7,4,32,117.67,3,1,1,1,0,1,1,1,1,36543
North,10,14,5,17,115.83,3,2,2,1,1,0,1,1,1,63023
North,6,21,5,23,106.5,3,2,2,1,1,1,1,1,1,63831
North,2,9,4,25,147.68,3,2,2,1,1,0,1,1,1,47400
North,1,6,4,26,118.71,3,2,2,1,1,1,1,1,1,56440
North,2,9,4,18,158.88,3,2,2,1,1,1,1,0,1,63444
North,10,12,5,28,164.53,4,2,2,1,1,1,1,1,1,48623
